,Clean_Tweets,Uncleand_Tweets
503,u f,<U+0001F920>
504,near orbital space fastest way travel long distance earth,Near-orbital space is the fastest way to travel long distance on Earth !
505,called space station actually moving around earth time spee,"It  s called the Space  Station  , but it  s actually moving around Earth at ~ 25 times the spee https://t.co/vYVIvrtZsa"
506,rt time lapse dragon approach two dragon docked,RT : Time-lapse of Dragon on approach  two Dragons now docked to the https://t.co/I046jBmC7o
507,long thanks orifice alien message decrypted," So long , and thanks for the orifice !  - Alien message decrypted"
508,probably chance completing mission objective,Probably 1/3 chance of completing all mission objectives
509,hopefully flying tomorrow,Hopefully flying tomorrow
510,yup,Yup
511,rt success pm et upgraded dragon cargo spacecraft autonomously docked u f st,"RT : Success ! At 1:40 pm ET , ' s upgraded Dragon cargo spacecraft autonomously docked to the . <U+0001F409> This is the 1st"
512,pad south texas,Out on the pad in South Texas https://t.co/RcYOXXpTc2
513,rt station dragon going orbital night period pm et docking crewdragon,RT : The station and the #Dragon are going into an orbital night period before the 1:30 pm ET docking . The #CrewDragon
514,wow station look amazing,"Wow , Station looks amazing !"
515,rt good morning earthling u u fe f journey continues watch nasa cargo resupply mission dock,"RT : Good morning , earthlings . <U+2600> <U+FE0F> The journey continues ! Watch as the NASA cargo resupply mission docks to the"
516,knock knock singing telegram,"Knock , knock , singing telegram !"
517,carrying even symbiotic bacteria trillion cell,Carrying even more symbiotic bacteria ( ~ 40 trillion ) than cells
518,yes,Yes
519,mobile cell colony,We are mobile cell colonies
520,,100
521,rt tracking footage helicopter today falcon launch lc,RT : Tracking footage from a helicopter of today  s Falcon 9 launch off LC - 39A https://t.co/7rYVZRTS18
522,rt something genuinely magical seeing starship sn person boca chica beautiful quiet serine,"RT : There  s something genuinely magical about seeing #Starship #SN8 in person . Boca Chica is beautiful , quiet and serine . T"
523,im gespr ch mit mathias pfner,Im Gespräch mit Mathias Döpfner https://t.co/bqa5pIAOnk
524,rt dragon separation confirmed spacecraft way autonomous docking tomorrow approximately,RT : Dragon separation confirmed ; the spacecraft is on its way to the . Autonomous docking tomorrow at approximately 1
525,rt falcon booster landed course still love droneship,RT : Falcon 9 booster has landed on the Of Course I Still Love You droneship https://t.co/cNL6t0LQ0g
526,rt liftoff,RT : Liftoff ! https://t.co/pgk24cph9e
527,congratulation,Congratulations !
528,congratulation,Congratulations !
529,yes,"Yes , it does ."
530,rt tunnel rave,RT : Tunnel Rave https://t.co/d3JKOIAsy7
531,toilet paper u f u f,And no toilet paper <U+0001F923> <U+0001F923>
532,watch demolition man,Watch Demolition Man
533,prometheus unbound,Prometheus Unbound
534,rt falcon booster supporting mission previously launched astronaut bob behnken doug hurley,RT : The Falcon 9 booster supporting this mission previously launched astronauts Bob Behnken and Doug Hurley to the
535,bad,Not bad
536,beast compared vic,It was a beast compared to the VIC - 20
537,award accepted behalf great people tesla spacex neuralink boring co,"Award accepted on behalf of the great people at Tesla , SpaceX , Neuralink & Boring Co"
538,much people think science actually engineering eg thing rocket scientist roc,"Much of what people think of an science is actually engineering , eg no such thing as a  rocket scientist  , only roc https://t.co/ws70UvCRyN"
539,science discovering essential truth exists universe engineering creating thing,"Science is discovering the essential truths about what exists in the Universe , engineering is about creating things https://t.co/XMQTBrLDYP"
540,get bit cold night,It does get a bit cold at night
541,paint make hell difference,Paint makes a hell of a difference
542,congrats,Congrats !
543,thanks everything help build spacex best memory ever,Thanks for everything you did to help build SpaceX ! Some of the best memories ever .
544,real soon,It will be real soon
545,starship leg one hardest problem external,Starship legs are one of the hardest problems . External https://t.co/csIZk6sEVu
546,static fire risky build site need clear build site early flight,"Static fire is not risky from build site , but we need to clear the build site for early flights"
547,static fire tomorrow flight earlier wednesday,Just a static fire tomorrow . Flight no earlier than Wednesday .
548,landing leg,It will have landing legs
549,yes sad news tony great,"Yes , very sad news . Tony was great ."
550,second thought pic thanos haha,"For a second there , I thought that was a pic of Thanos haha"
551,yeah truncate zero round,"Yeah , truncate zeros & then round"
552,probably going wider beta week,Probably going to a wider beta in ~ 2 weeks
553,fp least important digit truncated feel like fp betting training dojo,fp16 with least important digits truncated ( so it feels like fp32 ) is what we  re betting on for training with Dojo
554,int almost heavy lifting inference work great,Int 8 for almost all heavy lifting in inference works great
555,actually,But actually ! https://t.co/lb14pKsayI
556,,https://t.co/mMg5b8b40z
557,happy thanksgiving,Happy Thanksgiving !
558,hopefully next month,Hopefully next month
559,ok overall air suspension height damping algorithm,Ok . Overall air suspension height & damping algorithm is https://t.co/opgo08vd4Y
560,haha true,Haha true
561,promise greatly needed,The Promise is greatly needed
562,special color new roadster original,"We will have special colors for new Roadster , as we did for the original"
563,u f u f,<U+0001F923> <U+0001F923>
564,savage u f u f,. is savage <U+0001F923> <U+0001F923>
565,ever wondered came,If you ever wondered where we came from
566,life leader launch risk normal,"This is a life leader launch , so more risk than normal https://t.co/EtFP9IELrf"
567,yes slightly filled,"Yes , but only slightly filled"
568,subject much debate,This is a subject of much debate
569,major upgrade slated sn,Major upgrades are slated for SN15
570,many small improvement overall similar wiring robust engine mat,"Many small improvements , but overall similar . Wiring is more robust , engines are more mat https://t.co/7oFbmY1N25"
571,sn sn,But that  s why we have SN 9 & SN10
572,lot thing need go right maybe chance,"Lot of things need to go right , so maybe 1/3 chance"
573,good starship sn static fire aiming first km k ft altitude flight next week goal test engin,Good Starship SN8 static fire ! Aiming for first 15km / ~ 50k ft altitude flight next week . Goals are to test 3 engin https://t.co/7OjorqNhb6
574,maybe start year depends starship progress go,Maybe start on that a year from now . Depends on how Starship progress goes .
575,yet,Not yet
576,bad definitely need engine make cargo bay propel,Not bad ! We will definitely need more engines if we make the cargo bay all propel https://t.co/j2uVULTatv
577,rapid complete rocket reuse low cost propellant orbital refilling propellant production,"Rapid & complete rocket reuse , low cost propellant , orbital refilling & propellant production at d https://t.co/UmyUR7yShY"
578,yes,Yes
579,still far simply video control biggest game changer cu,"We  re still far from simply video in , control out . The biggest game-changer , cu https://t.co/nb5Hl7gzlx"
580,fsd beta coming day improvement significant,FSD Beta 5 coming out in a few days . Improvement should be significant .
581,exciting mission,Exciting mission !
582,wow,Wow
583,yea,Yea
584,tomorrow th flight rocket landing droneship course still love,"Tomorrow will be the 7th flight of this rocket , landing on droneship Of Course I Still Love You"
585,sure,Sure
586,true,True
587,quiet queue product build better new roadster point u f c,We have quiet a queue of products to build ! Better do new Roadster at some point <U+0001F62C> .
588,fate love irony hate hypocrisy,"Fate loves irony , but hates hypocrisy"
589,rt booster separation second engine start fairing separation u european sentinel michael freilich ocean observing,"RT : Booster separation , second-engine start , and fairing separation as the U . S . - European Sentinel - 6 Michael Freilich ocean-observing"
590,yes u f,Yes <U+0001F603>
591,data center named skynet joke year ago might tempting fate,Our data center was named Skynet as a joke over 10 years ago . Might have been tempting fate !
592,tesla vehicle creating producing many useful product,Tesla is a vehicle for creating & producing many useful products
593,largest cast titanium part world heat shielding needed,Largest cast titanium part in the world . No heat shielding needed .
594,landing vandenberg afb california,Landing at Vandenberg AFB in California https://t.co/46J2GcCjP0
595,actually side take launch,"Actually , off to the side ( so it doesn  t take out the launch https://t.co/Fr9aUCYWCO"
596,,Where it should be !
597,investor tesla definitely good company investing n,"Because I am not an investor . Tesla is definitely not the only good company , but investing is n https://t.co/wDUz0wnuIn"
598,well almost anything,"Well , almost anything https://t.co/FFPVDsqruC"
599,quite day ahead,Quite the day ahead https://t.co/apZNgmo0k7
600,rt crew view earth dragon flight,RT : Crew - 1  s view of Earth during Dragon  s flight to the https://t.co/lQW6TYmpB7
601,call pointy,Now * this * is what you  d call pointy !
602,cool,Cool
603,moving time speed sound feel like nothing,"They  re moving at ~ 25 times the speed of sound , but it feels like nothing"
604,,https://t.co/XAJaN4j9ZR
605,always upgrade,There will always be upgrades
606,better human vision quite margin,It will be better than human vision by quite a margin
607,reality look like strange ghost world radar wavelength,Reality looks like a strange ghost-world at radar wavelengths . https://t.co/DMGov9rcnu
608,exactly,Exactly
609,misperception spacex developed continues use lidar dragon docking,This is a misperception . SpaceX developed & continues to use lidar for Dragon docking with https://t.co/3I0bWGjlQp
610,one day fly starship,One day we will fly you on Starship
611,well done,Well done !
612,comment turbopump internal detail roughly ballpark wow roc,"I can  t comment on turbopump internal details , but you  re roughly in the ballpark . Wow , roc https://t.co/0SRlFg03Fg"
613,clear xpeng problem company china done,"To be clear , this was just an XPeng problem . Other companies in China have not done this ."
614,andrej awesome said talented autopilot,"Andrej is awesome , but it should be said that we have a very talented Autopilot https://t.co/64ocngk3ey"
615,yeah stole apple code,Yeah . They stole Apple  s code too . https://t.co/gy4DT7Pq9N
616,old version software nn inference computer,They have an old version of our software & don  t have our NN inference computer
617,wild time,Wild times !
618,congrats,Congrats !
619,,.
620,yup,Yup
621,change part otherwise fine,"Change out a few parts , otherwise fine"
622,caution strongly advised spacs,Caution strongly advised with SPACs
623,sure,Sure
624,haha sexy cropping champion time,Haha sexy cropping champion of all time
625,next week release look good widen beta,"If next week  s release looks good , we will widen beta"
626,unfortunately many rule around liquor distribution even u,"Unfortunately , there are too many rules around liquor distribution , even in the US . https://t.co/kvHlbueE1u"
627,next week release special lot fundamental improvement important bug fix entire n,"Next week  s release is special . Lot of fundamental improvements , both important bug fixes & entire n https://t.co/BV5STdWNgj"
628,year billion wow,13 years & $ 11 billion wow
629,safety primary design goal,Safety is our primary design goal
630,fully,Fully
631,let martian decide future,Let the Martians decide their own future
632,lot brain space spent dealing unit,A lot of my brain space is spent dealing with both units !
633,terraforming slow relevant lifetime however establish human base,"Terraforming will be too slow to be relevant in our lifetime . However , we can establish a human base https://t.co/uygaAE7g3r"
634,certainly intention,That is certainly the intention !
635,,https://t.co/fREZwjCwNa
636,publicly traded stock tesla,The only publicly traded stock I own is Tesla
637,wise word bogle point company product service point thems,Wise words from Bogle . The point of companies is products & services . They have no point in & of thems https://t.co/eNCU8cBLpy
638,mild cold bro def cov though pc mean viral,"No , just a mild cold . Same with my bro . Def had cov 2 though . Pc < 20 means viral https://t.co/UySAnpqtFI"
639,life glass dome first eventually terraformed support life like earth,"Life in glass domes at first . Eventually , terraformed to support life , like Earth ."
640,yeah,Yeah
641,going say sim seemed obvious haha,"I was going to say  Sim !  , but that seemed too obvious haha"
642,deveras,Deveras !
643,case high non infectious ct quarantine day getting another test seco,"And cases with high ( non-infectious ) Ct should quarantine for a few days , while getting another test . Seco https://t.co/oAlvZwCMIO"
644,many thing want know wanted,So many things you want & some you didn  t know you wanted
645,maybe little mercy,Maybe a little Mercy https://t.co/9iE40HOihr
646,tesla holiday software release u f u f,Tesla holiday software release is <U+0001F525> <U+0001F525>
647,u f f,<U+0001F60F>
648,cobra kai deep cut,Cobra Kai is a deep cut
649,cake someone took bite,It  s all cake & someone took a bite
650,thing much sentience,There is such a thing as too much sentience
651,deus ex machine learning,Deus ex machine learning https://t.co/5ZSYalVczx
652,designed make life multiplanetary otherwise extreme overkill mere earth sector activity,"It  s designed to make life multiplanetary , otherwise extreme overkill for mere Earth sector activity ! https://t.co/yjLTT8pEEu"
653,like gave blessing sort groundswell believed,More like he gave it his blessing . It was sort of a groundswell of those who believed https://t.co/fwK1ziHfEg
654,nullius verba,Nullius in Verba
655,indeed,Indeed
656,dojo doge,Dojo / Doge
657,yeah look like marginal cost launch le,"Yeah , looks like marginal cost of launch will be less than $ 1M for more than 1 https://t.co/rNSJ5FkDXT"
658,exactly,Exactly
659,merlin strong local maximum design kerosene suboptimal fuel matter,"Merlin is a strong local maximum design , but kerosene is suboptimal fuel , no matter what https://t.co/JoetYsKGp7"
660,yes visiting american ah irony much,"Yes , but from a visiting American . Ah , the irony is just too much ! !"
661,yeah pcr ct unequivocal matter,"Yeah , PCR Ct was unequivocal at < 20 . Doesn  t matter what m https://t.co/YJdogoKX8Q"
662,maybe making notable change wait figurative literal dust settle,Maybe making some notable changes . Will wait until figurative & literal dust settles .
663,pretty close definitely feel u f af take dayquil frankly one,"Pretty close . Definitely feel <U+0001F4AF> if I take DayQuil . Frankly , this was one https://t.co/hj0ThLR48N"
664,avionics cable moving steel pipe shield adding water cooled steel pipe test pad,Avionics cables moving to steel pipe shields & adding water-cooled steel pipes to test pad
665,sec starting engine martyte covering concrete shattered sending blade,"About 2 secs after starting engines , martyte covering concrete below shattered , sending blades of https://t.co/vilv1S16Yo"
666,amazing thing rocket engine sometimes blow,The most amazing thing about rocket engines is that they * sometimes * don  t blow up ! The https://t.co/EUXoocFR9T
667,count atom point,We should just count the atoms at this point
668,absolutely production testing rocket engine,Absolutely . Production / testing of rocket engines is over 90 % of https://t.co/Tv3piXzp4I
669,first merlin engine design really bad tbh nothing worked well,Our first Merlin engine design was really bad tbh . Nothing worked well https://t.co/Y5njREPvtc
670,maybe love irony haha,Maybe * I * just love irony haha
671,way hopefully teslaquila next month,"They  re on their way ! Hopefully , more Teslaquila next month ."
672,special permission received stonecutter guild,Special permission received from Stonecutters Guild ! https://t.co/SW5RBm1sRB
673,fate u f irony,Fate <U+0001F5A4> Irony
674,well said,Well said .
675,u f b u f b,<U+0001F47B> <U+0001F4B5> https://t.co/UWerAhxUev
676,damn easy spent quite bit time looking russian ukrainian engine good,"Damn , that  s not easy ! I spent quite a bit of time looking at Russian / Ukrainian engines . They  re good ."
677,yes,Yes
678,rt docking confirmed crew dragon arrived,RT : Docking confirmed  Crew Dragon has arrived at the !
679,u f b toss bitcoin ur witcher u f b,<U+0001F3B6> Toss a bitcoin to ur Witcher <U+0001F3B6>
680,u f,<U+0001F609>
681,rt u f enter crew dragon p est p utc nasa crew astronaut give live tour space,"RT : <U+0001F409> Enter the Crew Dragon . At 4:48 p . m . EST ( 9:48 p . m . UTC ) , the NASA Crew - 1 astronauts give you a LIVE tour of their space"
682,curevac moderna others tesla make machine curevac us go kn,"CureVac , Moderna & a few others . Tesla makes the machine CureVac uses to go from kn https://t.co/kVEPRq79Rl"
683,creating synthetic mrna cure vaccine future medicine imo turn mostly,Creating synthetic mRNA for cures / vaccines is the future of medicine imo . Turns it ( mostly ) into a https://t.co/Yp7djaWikS
684,haha,Haha
685,great thread,Great thread
686,ok thanks asking symptom past day apart fatigue unless something chang,"I  m ok , thanks for asking . No symptoms for past few days , apart from fatigue . Unless something chang https://t.co/S8EO2xB2sf"
687,u u fe f,<U+2665> <U+FE0F>
688,launch minute,Launch in 5 minutes
689,yeah cooling channel integrated chamber wall,"Yeah , with cooling channels integrated into the chamber walls"
690,propellant used either abort orbital maneuvering one use obviates,"The same propellant is used either for abort or for orbital maneuvering , as one use obviates the other"
691,dragon also hover land propulsively use parachute maximum safety,"Dragon can also hover & land propulsively , but we use the parachutes for maximum safety https://t.co/Mr7VFIQwWf"
692,thruster integrated spacecraft enabling abort capability way abort increased safety,"Thrusters are integrated with spacecraft , enabling abort capability all the way to abort for increased safety https://t.co/KrOHKOr6AE"
693,rt song would play ride launch pad launchamerica,RT : What song would you play on your ride out to the launch pad ? #LaunchAmerica https://t.co/vzhxUn6Yie
694,rt dragon completed flight designed beginning human spaceflight mi,RT : Dragon has completed 22 flights to and from the . It was designed from the beginning with human spaceflight in mi
695,rt dragon spacecraft currently flying capable returning significant amount cargo earth first priv,RT : Dragon is the only spacecraft currently flying capable of returning significant amounts of cargo to Earth and is the first priv
696,rt spacex custom tailored suit route communication cooling system protect crew event cabin depressu,RT : SpaceX  s custom-tailored suits route the communications and cooling systems and protect the crew in the event of cabin depressu
697,rt live ready launchamerica u f watch coverage nasa crew mission liftoff pm et,RT : LIVE NOW : We are ready to #LaunchAmerica . Are you ? <U+0001F680> Watch coverage of the NASA Crew - 1 mission . Liftoff is at 7:27 pm ET :
698,rt watch falcon launch crew dragon first operational mission astronaut board u,RT : Watch Falcon 9 launch Crew Dragon on its first operational mission to the with astronauts on board <U+2192> https://t.c
699,ok,Ok
700,rt system go tonight launch p est crew dragon first operational mission four astronaut boa,RT : All systems are go for tonight  s launch at 7:27 p . m . EST of Crew Dragon  s first operational mission with four astronauts on boa
701,yeah feel pretty normal symptom right last week sym,"Yeah , I feel pretty normal . No symptoms right now . Last week , I had sym https://t.co/gL0mhrqJxY"
702,test several different lab time day administered rn,"Doing tests from several different labs , same time of day , administered by RN & am https://t.co/hajhh7La7Q"
703,obv insanely great bad pointless argument,"Both obv insanely great , too bad they had this pointless argument"
704,astronaut launch today,Astronaut launch today ! https://t.co/3FAzZGss8c
705,rt u f message boy girl japan space waiting spotlight astronaut,"RT : <U+0001F338> has a message for boys and girls in Japan : "" Space is waiting ! "" In this Spotlight , astronaut So"
706,rt week u f nasa crew astronaut arrive ahead launch u f rover mark day,RT : This week ... <U+0001F680> NASA's Crew - 1 astronauts arrive at ahead of launch <U+0001F534> Our rover marks 100 days
707,rt spacex nasa crew finished final dress rehearsal getting ready saturday launch behind real dragon,"RT : #SpaceX #NASA #Crew1 just finished final dress rehearsal , getting ready for Saturday launch ! Behind me is "" real "" #Dragon"
708,kid though,No kids though
709,hell wig collection,Hell of a wig collection too
710,would great lab could give people level granular feedback result,It would be great if labs could give people this level of granular feedback in their results
711,rt great question complex question depends test used ie want kn,RT : Great question ! It  s more complex question and depends on why the test is being used - ie : do you want to kn
712,worth reading thread curious rona testing,Worth reading this thread if you  re curious about rona testing https://t.co/FA6kD61eBA
713,imo get blood pressure test tell number ju,"They should be imo . If you get a blood pressure test , they tell you the number , not ju https://t.co/tWl0Dgurmk"
714,little feel like regular cold body achy cloudy head co,"A little up & down . Feels just like a regular cold , but more body achy & cloudy head than co https://t.co/ihVPeox7m6"
715,opinion ct number cov n gene pcr test probably regarded,"In your opinion , at what Ct number for the cov 2 N1 gene should a PCR test probably be regarded as https://t.co/emuXLx698G"
716,,!
717,cool please super cautious expect two step forward one back lot new code merged,"Cool , but please be super cautious . Expect two steps forward , one back . Lot of new code was merged ."
718,scratch buff,Just a scratch . We can buff it out .
719,getting wildly different result different lab likely moderate case covid,"Am getting wildly different results from different labs , but most likely I have a moderate case of covid https://t.co/XLBAHahJOj"
720,npc way,NPCs all the way up
721,ahem,Ahem
722,unless dmt,Unless you  re on DMT
723,law thermodynamics win break even stop playing,Laws of thermodynamics : 1 . You can  t win 2 . You can  t break even 3 . You can  t stop playing
724,shake fist entropy,Shakes fist at entropy
725,big expansion beta program week,Big expansion of beta program in 6 to 8 weeks !
726,interesting thursday night saliva sample came back today n gene unique cov,Interesting . My Thursday night saliva sample came back today with N1 gene ( unique to cov https://t.co/Tm7cs8oTdT
727,honey,What  s honey ?
728,feel way,Feels that way
729,seems accurate,This seems accurate
730,cold symptom gone u f u f u f ab,Cold symptoms are gone for now <U+0001F600> <U+0001F680> <U+0001F4AB>
731,degree po,There are degrees of pos
732,heneghan make lot sense hilarious clarify r,Heneghan makes a lot of sense . Hilarious that he has to clarify that he r https://t.co/MlXngcSA9T
733,number pcr amplification cycle required detect virus rough indicator vir,The number of PCR amplification cycles required to detect the virus is a rough indicator of your vir https://t.co/mn8192hUeQ
734,great reference worth read,This a great reference ! Worth a read .
735,case closed,Case closed https://t.co/pUYiJcAdD6
736,soon,Soon https://t.co/mWOpR7W8kk
737,fwiw lab spoke think accurate get dicey b talk,"Fwiw , lab I just spoke to thinks below 30 is accurate , 30 to 40 gets dicey & above 40 is bs . Will talk to https://t.co/K77wXQ11yt"
738,lab spoke said cov pcr detection n n gene cycle reliable cycle,Lab I just spoke to said cov 2 PCR detection ( N1 & N3 genes ) below 30 cycles is reliable & above 40 cycles is not
739,note spike protein consider reliable,"Note , this is not the spike protein . They don  t consider that reliable ."
740,spoke directly testing lab main pcr search n gene unique,"Just spoke directly to a testing lab . Their main PCR search is for the N1 gene , unique https://t.co/x57OdvDAuO"
741,strange,Strange
742,possible explanation dramatic decline cold flu prevalence v prior year someone come,Possible explanation for the dramatic decline in cold & flu prevalence vs prior years . If someone comes https://t.co/gMLVEwwXDP
743,moreover lower true prevalence higher false positive number sound obvious,"Moreover , lower the true prevalence , the higher the false positive number will be . This sounds obvious , https://t.co/XvAbEkLh1q"
744,,From https://t.co/42z7vRPB9c https://t.co/XTSukcc3Tl
745,sure,Sure is
746,would great hear people know lot pcr testing industry approximate false posi,Would be great to hear from people who know a lot about the PCR testing industry . What  s the approximate false posi https://t.co/lVc11nIkql
747,interesting,Interesting
748,interesting,Interesting
749,general population knowledge symptom accuracy sars cov pcr test possible gene,What is the general population ( no knowledge of symptoms ) accuracy of a sars-cov 2 PCR test & is it possible to gene https://t.co/VbIU7ds4UQ
750,good pcr test identify cov spike protein although heard,"A good PCR test should identify if I have the cov 2 spike proteins , although I have heard s https://t.co/M8Vj2gaOfs"
751,mild sniffle cough slight fever past day right symptom although take nyquil,"Mild sniffles & cough & slight fever past few days . Right now , no symptoms , although I did take NyQuil ."
752,technically tested positive negative twice positive elon musk test negati,"Technically , I tested positive , then negative twice , then positive again , so  Elon Musk Tests Negati https://t.co/6ohTA09S5l"
753,carousel turn ever faster,The carousel turns ever faster
754,yup,Yup
755,exactly,Exactly
756,symptom typical cold nothing unusual far,Symptoms of a typical cold . Nothing unusual so far .
757,happening happening others getting pcr test separate lab result take hour,"If it  s happening to me , it  s happening to others . I  m getting PCR tests from separate labs . Results will take about 24 hours ."
758,something extremely bogus going tested covid four time today two test came back negative two cam,"Something extremely bogus is going on . Was tested for covid four times today . Two tests came back negative , two cam https://t.co/Z2V15u7Zcf"
759,burst disk worked vehicle appears ok swap least one engine,"Burst disk worked , so vehicle appears to be ok . We  ll have to swap out at least one of the engines ."
760,maybe melted engine preburner fuel hot gas manifold whatev,Maybe melted an engine preburner or fuel hot gas manifold . Whatev https://t.co/5elyX8PjlG
761,lost vehicle pneumatics reason unknown present liquid oxygen header tank pressure risin,We lost vehicle pneumatics . Reason unknown at present . Liquid oxygen header tank pressure is risin https://t.co/SZc90HnTi8
762,u f u f u f,<U+0001F923> <U+0001F923> <U+0001F44D>
763,rt tesla top list attractive employer u engineering student,RT : Tesla tops list of 2020  s Most Attractive Employers for US engineering students https://t.co/KKNYQlet0o
764,astronaut fly sat night cape first operational flight crew dragon,4 Astronauts fly to on Sat night from Cape . First operational flight of Crew Dragon . https://t.co/uZCGiKciKb
765,luck best superpower,Luck is the best superpower
766,rt thank served sacrificed veteransday,RT : Thank you to all those who have served and sacrificed #VeteransDay https://t.co/U8kN4FZpJ9
767,rt crew access arm swing place,RT : Crew access arm swings into place https://t.co/XAImd6nLJV
768,yes,Yes
769,honor would choose work strive ensure company enable,It is an honor that they would choose to work with me . I strive to ensure that the companies enable https://t.co/OTdwCSk3cK
770,privilege work people like respect much feel blessed,Such a privilege to work with people I like & respect so much . I feel blessed .
771,rt flight readiness review crew mission concluded go,"RT : The Flight Readiness Review for the Crew - 1 mission to the has concluded , and and are GO t"
772,rt falcon crew dragon vertical launch complex,RT : Falcon 9 and Crew Dragon vertical on Launch Complex 39A https://t.co/hBVUHWv3Ab
773,probably,Probably
774,happy see,Happy to see this :)
775,expect become important product world probably financially material tesla,"I do expect this to become an important product for the world , but probably not financially material for Tesla"
776,entry,There  s no entry https://t.co/NCafKnfZlc
777,tesla make rna bioreactor make vaccine cure curevac version use,Tesla makes the RNA Bioreactor that can make vaccines / cures . CureVac has version 2 in use . https://t.co/OPouohyAmu
778,rt crew dragon falcon hangar launch complex ahead launching four astronaut liftoff,RT : Crew Dragon and Falcon 9 in the hangar at Launch Complex 39A ahead of launching four astronauts to the ; liftoff
779,checking,Checking
780,hope game twist tedium fear canceled,I just hope this game doesn  t twist itself to tedium out of fear of being canceled
781,rt rumor austin chalk geologically one best soil tunneling want find austin job avai,"RT : Rumor has it that "" Austin Chalk "" is geologically one of best soils for tunneling . Want to find out ? Austin jobs now avai"
782,,https://t.co/d0i2w8wNKG
783,yes damn cookie browser setting,"Yes , you can have my damn cookie ! should be a browser setting"
784,thanks lot great autopilot ai hardware software engineer tesla,Thanks to a lot of great Autopilot / AI hardware & software engineers at Tesla !
785,sure,For sure
786,worth,Will be worth it
787,exactly,Exactly
788,sure,Sure
789,actually still,"Actually , it  s still there https://t.co/2zLKc8Fc2d"
790,wait see cybertruck,Wait until you see what Cybertruck will do
791,accidental back shortly,This is accidental . Will be back shortly .
792,rt k supercharger counting,RT : 20k Superchargers and counting https://t.co/urudyt9Eui
793,hoping change booster design land back launch mount,Am hoping to change booster design to land back on launch mount with https://t.co/HpRGPtt6ru
794,chip temp sensor automatically maintains safe temp,Chip has temp sensor & automatically maintains safe temp
795,enough already plate tesla maybe one day prototy,Enough already on my plate & Tesla  s . Maybe one day will do a prototy https://t.co/tGPWEJ7WQA
796,neuralink overclock brain transfer processing supercomputer extension yo,"Neuralink won  t overclock the brain , it will transfer processing to the supercomputer extension of yo https://t.co/NByBBFX0T2"
797,rewrote labeling software different labeling single phot,We rewrote all labeling software for 4D . Very different from labeling single phot https://t.co/mLTBdsQuTy
798,version year away,Version 1 is about a year away
799,would appear calculation incorrect,It would appear that their calculations were incorrect
800,china understands profound importance reusability era expendable rocket soon,China understands the profound importance of reusability . The era of expendable rockets will soon be over .
801,u u fe f u u fe f tesla autopilot ai team u u fe f u u fe f,<U+2660> <U+FE0F> <U+2660> <U+FE0F> Tesla Autopilot / AI team <U+2660> <U+FE0F> <U+2660> <U+FE0F>
802,good explanation essential dynamically occluded object especially large intersection,"Good explanation . 4D is essential for dynamically occluded objects , especially in large intersection https://t.co/ooJ9PqAyHj"
803,rt,RT : https://t.co/5U3fNqFhr1
804,phantom opera inside mind,The Phantom of the Opera Is here inside your mind
805,u f e u f e u f,<U+0001F1E8> <U+0001F1E6> <U+0001F600>
806,looking problem solver get thing done high sense urgency care went school,Just looking for problem-solvers who get things done with a high sense of urgency . Don  t care if or where they went to school .
807,sending resume please describe hardest problem solved exactly solved,"When sending your resume , please describe a few of the hardest problems you solved & exactly how you solved them"
808,new banner needed neither hard left right,A New Banner is needed Neither hard left nor right
809,another fine day simulation,Another fine day in the simulation
810,faraday invented electric motor tesla commutator free three phase ac induction motor,"Faraday invented the electric motor , Tesla the ( commutator-free , three-phase ) AC induction motor , in other https://t.co/cQo2rjLRBv"
811,maxwell amazing recognition tesla motor inc almost called faraday,"Maxwell was amazing . Should have more recognition . Tesla Motors , Inc . , was almost called Faraday , as it to https://t.co/6y42KMCPGk"
812,ten time better,420 is ten times better than 42
813,u f,<U+0001F917>
814,rt deployment gps iii confirmed,RT : Deployment of GPS III - 4 confirmed https://t.co/fCFJRcWMti
815,rt falcon first stage land course still love droneship,RT : Falcon 9  s first stage lands on the Of Course I Still Love You droneship https://t.co/hd0IBPX3T5
816,rt liftoff,RT : Liftoff ! https://t.co/LI4O0TNmL8
817,awaiting approval canadian authority,Awaiting approval from Canadian authorities
818,recruiting ace engineer giga berlin interview person tomorrow site send resume gun tesla com,Recruiting ace engineers for Giga Berlin ! Will interview in person tomorrow on site . Send resume to 25Guns@Tesla.com .
819,stop chad,Stop being a chad
820,uh chad wtf,Uh Chad wtf
821,einstein great succeed engineering tried,"Einstein was great , but did not succeed at engineering ( and he tried )"
822,yeah relatively easy user ocean,"Yeah , that will be relatively easy , as so few users out in the ocean"
823,yes although expect stock rise much,"Yes , although I didn  t expect the stock to rise so much so https://t.co/TMW6phbef0"
824,super appreciate support steve convertible loan gave u month runway,"Super appreciate your support , Steve ! That convertible loan gave us 6 months of runway . https://t.co/eJ7iOVx2W4"
825,closest got month model ramp extreme stress pa,Closest we got was about a month . The Model 3 ramp was extreme stress & pa https://t.co/WuHekj0HIo
826,put last money even though thought would still fail eithe,"I put in my last money , even though I thought we would still fail . But , it was eithe https://t.co/9bGKEz9d8a"
827,funding round completed pm christmas eve last hour last day possible investo,"That funding round completed 6pm on Christmas Eve in 2008 . Last hour of last day possible , as investo https://t.co/UmfGjnkoxm"
828,yes,Yes
